Town,Region,Country,Latitude,Longitude
Brunoy,Île-de-France,France,48.697899,2.5044
Oullins,Auvergne-Rhône-Alpes,France,45.715,4.8083
Gonesse,Île-de-France,France,48.987499,2.4494
Bègles,Nouvelle-Aquitaine,France,44.808601,-0.5478
Élancourt,Île-de-France,France,48.784698,1.9589
Alençon,Normandy,France,48.430599,0.0931
Illkirch-Graffenstaden,the Grand Est,France,48.529999,7.72
Vallauris,Provence-Alpes-Côte d'Azur,France,43.580502,7.0538
Sannois,Île-de-France,France,48.972198,2.2578
Aurillac,the Auvergne-Rhône-Alpes,France,44.926102,2.4406
Fresnes,Île-de-France,France,48.755001,2.3221
Hénin-Beaumont,the Hauts-de-France,France,50.4217,2.9508
Décines-Charpieu,Auvergne-Rhône-Alpes,France,45.769402,4.9594
Bourgoin-Jallieu,Auvergne-Rhône-Alpes,France,45.586102,5.2736
Villiers-le-Bel,Île-de-France,France,49.009399,2.3911
Ris-Orangis,Île-de-France,France,48.653702,2.4161
Herblay-sur-Seine,Île-de-France,France,48.990799,2.1664
Saumur,Pays de la Loire,France,47.259998,-0.0769
Guyancourt,Île-de-France,France,48.7714,2.0739
Grigny,Île-de-France,France,48.6562,2.3849
Bezons,Île-de-France,France,48.926102,2.2178
Bergerac,Nouvelle-Aquitaine,France,44.849998,0.48
Ermont,Île-de-France,France,48.992199,2.2603
Vanves,Île-de-France,France,48.820801,2.2897
Villiers-sur-Marne,Île-de-France,France,48.827499,2.5447
Carpentras,Provence-Alpes-Côte d'Azur,France,44.055801,5.0489
Pierrefitte-sur-Seine,Île-de-France,France,48.965599,2.3614
Soissons,Hauts-de-France,France,49.381699,3.3236
Le Plessis-Robinson,Île-de-France,France,48.781101,2.2633
Lambersart,Normandy,France,50.650002,3.025
Draveil,Île-de-France,France,48.6852,2.408
La Garenne-Colombes,Île-de-France,France,48.905602,2.2445
Bois-Colombes,Île-de-France,France,48.9175,2.2683
Le Chesnay,Île-de-France,France,48.821098,2.1311
Sotteville-lès-Rouen,Normandy,France,49.409199,1.09
Saint-Étienne-du-Rouvray,Normandy,France,49.378601,1.105
Yerres,Île-de-France,France,48.717098,2.4881
Saint-Laurent-du-Var,Provence-Alpes-Côte d'Azur,France,43.667999,7.188
Saint-Cloud,Île-de-France,France,48.84,2.22
Villemomble,Île-de-France,France,48.883301,2.5
Saint-Médard-en-Jalles,Nouvelle-Aquitaine,France,44.8964,-0.7164
Orange,Provence-Alpes-Côte d'Azur,France,44.138302,4.8097
Thiais,Île-de-France,France,48.764999,2.3923
Vienne,Auvergne-Rhône-Alpes,France,45.5242,4.8781
Cachan,Île-de-France,France,48.791901,2.3319
Aix-les-Bains,Auvergne-Rhône-Alpes,France,45.688499,5.9153
Pontoise,Île-de-France,France,49.051601,2.1017
Vandœuvre-lès-Nancy,Grand Est,France,48.6567,6.1683
Périgueux,Nouvelle-Aquitaine,France,45.192902,0.7217
Savigny-le-Temple,Île-de-France,France,48.584099,2.5832
Athis-Mons,Île-de-France,France,48.707401,2.3889
Dieppe,Normandy,France,49.919998,1.08
Malakoff,Île-de-France,France,48.816898,2.2944
Charenton-le-Pont,Île-de-France,France,48.8265,2.405
Maubeuge,Hauts-de-France,France,50.2775,3.9734
Villenave-d'Ornon,Nouvelle-Aquitaine,France,44.780602,-0.5658
Rillieux-la-Pape,Auvergne-Rhône-Alpes,France,45.8214,4.8983
Clichy-sous-Bois,Île-de-France,France,48.910198,2.553235
Trappes,Île-de-France,France,48.7775,2.0025
Chatou,Île-de-France,France,48.889702,2.1573
Vigneux-sur-Seine,Île-de-France,France,48.7001,2.417
L'Haÿ-les-Roses,Île-de-France,France,48.779995,2.337393
Goussainville,Île-de-France,France,49.032501,2.4747
Viry-Châtillon,Île-de-France,France,44.431065,26.028809
Châtellerault,Nouvelle-Aquitaine,France,46.817799,0.5461
Palaiseau,Île-de-France,France,48.7145,2.2457
Mont-de-Marsan,Nouvelle-Aquitaine,France,43.889999,-0.5
Plaisir,Île-de-France,France,48.818298,1.9472
Nogent-sur-Marne,Île-de-France,France,48.837502,2.4833
Dreux,Centre-Val de Loire,France,48.737202,1.3664
Meyzieu,Auvergne-Rhône-Alpes,France,45.766701,5.0036
Schiltigheim,Grand East,France,48.6078,7.75
Les Mureaux,Île-de-France region,France,48.987499,1.9172
Liévin,Hauts-de-France,France,50.422798,2.7786
Lens,Hauts-de-France,France,50.432201,2.8333
Épinal,Graand East,France,48.1744,6.4512
Houilles,Île-de-France,France,48.926102,2.1892
Villeneuve-Saint-Georges,Île-de-France,France,48.732498,2.4497
Châtenay-Malabry,Île-de-France,France,48.765301,2.2781
Cambrai,Hauts-de-France,France,50.176701,3.2356
Mâcon,Bourgogne-Franche-Comté,France,46.306301,4.8313
Franconville,Val-d'Oise  Île-de-France,France,48.988899,2.2314
Le Perreux-sur-Marne,the Île-de-France,France,48.842201,2.5036
Montigny-le-Bretonneux,Île-de-France,France,48.771099,2.0333
Romans-sur-Isère,Auvergne-Rhône-Alpes,France,45.046398,5.0517
Marignane,Provence-Alpes-Côte d'Azur,France,43.416042,5.214526
Saint-Raphaël,Provence-Alpes-Côte d'Azur,France,43.425201,6.7684
Annemasse,Auvergne-Rhône-Alpes,France,46.195801,6.2364
Creil,Hauts-de-France,France,49.258301,2.4833
Agen,Nouvelle-Aquitaine,France,44.204899,0.6212
Six-Fours-les-Plages,Provence-Alpes-Côte d'Azur,France,43.100899,5.82
Haguenau,the Grand Est,France,48.82,7.79
Vitrolles,Bouches-du-Rhône,France,43.459999,5.2486
Thonon-les-Bains,Auvergne-Rhône-Alpes,France,46.362701,6.475
Tremblay-en-France,the Île-de-France,France,48.950001,2.5722
La Ciotat,Provence-Alpes-Côte d'Azur,France,43.176899,5.6086
Neuilly-sur-Marne,Île-de-France,France,48.853733,2.549027
Nevers,Bourgogne-Franche-Comté,France,46.993301,3.1572
Auxerre,Bourgogne-Franche-Comté,France,47.798599,3.5672
Conflans-Sainte-Honorine,Île-de-France,France,48.999199,2.0983
Saint-Chamond,Auvergne-Rhône-Alpes,France,45.477501,4.5153
Villepinte,Seine-Saint-Denis  Île-de-France,France,48.955002,2.541
Roanne,Auvergne-Rhône-Alpes,France,46.036701,4.0689
Échirolles,Auvergne-Rhône-Alpes,France,45.1436,5.7183
Sainte-Geneviève-des-Bois,Île-de-France,France,48.636902,2.3403
Châtillon,Hauts-de-Seine,France,48.799999,2.29
Bagnolet,Île-de-France,France,48.869202,2.4181
Stains,the Île-de-France,France,48.950001,2.3833
Villefranche-sur-Saône,Auvergne-Rhône-Alpes,France,45.983299,4.7167
Montélimar,Auvergne-Rhône-Alpes,France,44.558102,4.7508
Cherbourg-Octeville,Normandy,France,49.630001,-1.62
Savigny-sur-Orge,Île-de-France,France,48.679699,2.3457
Poissy,the Île-de-France,France,48.929401,2.0456
Joué-lès-Tours,Centre-Val de Loire,France,47.351398,0.6625
Montluçon,Auvergne-Rhône-Alpes,France,46.340801,2.6033
Pontault-Combault,the Île-de-France,France,48.801361,2.60752
Saint-Martin-d'Hères,Auvergne-Rhône-Alpes,France,45.167198,5.7653
Colomiers,Occitanie,France,43.613899,1.3367
Bagneux,Hauts-de-Seine,France,48.798302,2.3137
Bron,Auvergne-Rhône-Alpes,France,45.739399,4.9139
Chartres,Centre-Val de Loire,France,48.456001,1.484
Draguignan,Provence-Alpes-Côte d'Azur,France,43.540298,6.4667
Anglet,Nouvelle-Aquitaine,France,43.485001,-1.5183
Gagny,the Île-de-France,France,48.883301,2.5333
Marcq-en-Barœul,the Hauts-de-France,France,50.671101,3.0972
Saint-Germain-en-Laye,Île-de-France,France,48.898899,2.0938
Rezé,Pays de la Loire,France,47.1833,-1.55
Gap,Provence-Alpes-Côte d'Azur,France,44.559399,6.0786
Compiègne,Hauts-de-France,France,49.414902,2.8231
La Courneuve,the Île-de-France,France,48.932201,2.3967
Alès,the Occitanie,France,44.128101,4.0817
Arras,Hauts-de-France,France,50.292,2.78
Tarbes,Occitanie,France,43.23,0.07
Noisy-le-Sec,the Île-de-France,France,48.8894,2.4503
Douai,Hauts-de-France,France,50.371399,3.08
Talence,Nouvelle-Aquitaine,France,44.799999,-0.584
Wattrelos,Hauts-de-France,France,50.700001,3.217
Thionville,the Grand East,France,49.358898,6.1692
Castres,Occitan,France,43.599998,2.25
Garges-lès-Gonesse,the Île-de-France,France,48.972801,2.4008
Caluire-et-Cuire,Auvergne-Rhône-Alpes,France,45.7953,4.8472
Choisy-le-Roi,the Île-de-France,France,48.763,2.409
Valenciennes,Hauts-de-France,France,50.358002,3.5233
Istres,the Provence-Alpes-Côte d'Azur,France,43.515099,4.9895
Saint-Priest,Auvergne-Rhône-Alpes,France,45.697201,4.9447
Livry-Gargan,Île-de-France,France,48.919201,2.5361
Saint-Herblain,Pays de la Loire,France,47.2122,-1.6497
Puteaux,the Île-de-France,France,48.884998,2.2389
Vaulx-en-Velin,Auvergne-Rhône-Alpes,France,45.776798,4.9186
Sète,Occitanie,France,43.4053,3.6975
Salon-de-Provence,Provence-Alpes-Côte d'Azur,France,43.640598,5.0972
Alfortville,the Île-de-France,France,48.805,2.4239
Châlons-en-Champagne,the Grand Est,France,48.9575,4.365
Saint-Malo,Brittany,France,48.648102,-2.0075
Meudon,the Île-de-France,France,48.807499,2.2403
Mantes-la-Jolie,the Île-de-France,France,48.990799,1.7172
Chalon-sur-Saône,Bourgogne-Franche-Comté,France,46.780602,4.8528
Châteauroux,Centre-Val de Loire,France,46.810299,1.6911
Saint-Brieuc,Brittany,France,48.513599,-2.7653
Aubagne,Provence-Alpes-Côte d'Azur,France,43.290798,5.5708
Blois,Centre-Val de Loire,France,47.593899,1.3281
Massy,the Île-de-France,France,48.7309,2.2713
Carcassonne,Occitanie,France,43.209999,2.35
Saint-Ouen-sur-Seine,the Île-de-France,France,48.912331,2.33425
Bayonne,Nouvelle-Aquitaine,France,43.490002,-1.48
Corbeil-Essonnes,the Île-de-France,France,48.613899,2.482
Martigues,Provence-Alpes-Côte d'Azur,France,43.4053,5.0475
Charleville-Mézières,the Grand Est,France,49.7719,4.7161
Suresnes,Île-de-France,France,48.869999,2.22
Albi,Occitanie,France,43.928902,2.1464
Sevran,the Île-de-France,France,48.9333,2.5333
Montrouge,the Île-de-France,France,48.8172,2.3219
Évreux,Normandy,France,49.02,1.15
Bobigny,the Île-de-France,France,48.910599,2.4397
Belfort,Bourgogne-Franche-Comté,France,47.639999,6.85
Grasse,Provence-Alpes-Côte d'Azur,France,43.666698,6.9167
Sartrouville,the Île-de-France,France,48.937199,2.1644
Annecy,Auvergne-Rhône-Alpes,France,45.916,6.133
Narbonne,Occitanie,France,43.183601,3.0042
Clamart,the Île-de-France,France,48.801399,2.2628
Arles,Provence-Alpes-Côte d'Azur,France,43.676701,4.6278
La Roche-sur-Yon,Pays de la Loire,France,46.670502,-1.426
Le Blanc-Mesnil,the Île-de-France,France,48.938725,2.461383
Bondy,the Île-de-France,France,48.902199,2.4828
Vannes,Brittany,France,47.655899,-2.7603
Fréjus,Provence-Alpes-Côte d'Azur,France,43.432999,6.737
Fontenay-sous-Bois,the Île-de-France,France,48.8517,2.4772
Évry,Essonne  the Île-de-France,France,48.623798,2.4296
Pantin,the Île-de-France,France,48.896599,2.4017
Chelles,the Île-de-France,France,48.883301,2.6
Meaux,the Île-de-France,France,48.9603,2.8883
Cholet,Pays de la Loire,France,47.060001,-0.8783
Maisons-Alfort,the Île-de-France,France,48.805801,2.4378
Épinay-sur-Seine,Île-de-France,France,48.955299,2.3092
Saint-Quentin,Aisne  Hauts-de-France,France,49.848598,3.2864
Hyères,Provence-Alpes-Côte d'Azur,France,43.1199,6.1316
Saint-André,Réunion,France,-20.9606,55.6506
Villejuif,Île-de-France,France,48.791901,2.3636
Niort,Nouvelle-Aquitaine,France,46.325802,-0.4606
Sarcelles,Île-de-France,France,48.995602,2.3808
Lorient,Brittany,France,47.75,-3.36
Chambéry,Auvergne-Rhône-Alpes,France,45.57,5.9118
Ivry-sur-Seine,Île-de-France,France,48.8078,2.3747
Troyes,the Grand East,France,48.299702,4.0792
Pessac,Nouvelle-Aquitaine,France,44.806702,-0.6311
Vénissieux,Auvergne-Rhône-Alpes,France,45.6978,4.8867
Cergy,Île-de-France,France,49.036098,2.0631
Neuilly-sur-Seine,Hauts-de-Seine,France,48.8881,2.2686
Villeneuve-d'Ascq,Hauts-de-France,France,50.623299,3.145
Noisy-le-Grand,Île-de-France,France,48.847801,2.5528
La Seyne-sur-Mer,Provence-Alpes-Côte d'Azur,France,43.099998,5.883
Quimper,Brittany,France,47.9967,-4.0964
Béziers,Occitanie,France,43.347599,3.219
Tulle,Corrèze  Nouvelle-Aquitaine,France,45.2673,1.7655
Aigues-Mortes,Occitanie,France,43.567173,4.192587
Cluny,Bourgogne-Franche-Comté,France,46.428967,4.664555
Collioure,Pyrénées-Orientales,France,42.526752,3.084631
Oradour-sur-Glane,the Nouvelle-Aquitaine,France,45.93108,1.032746
Figeac,Lot,France,44.608288,2.032871
Alaigne,Occitanie,France,43.103065,2.092404
Val-d'Isère,France,France,45.448032,6.980226
Léon,France,France,43.875828,-1.303137
Chapdes-Beaufort,Puy-de-Dôme,France,45.893978,2.865515
Léré,France,France,47.471203,2.872511
Langeais,France,France,47.324848,0.406217
Nangis,France,France,48.554611,3.013535
Sort-en-Chalosse,France,France,43.683781,-0.93254
Hérouville-Saint-Clair,Lower Normandy,France,49.203579,-0.333655
Essars,Nord-Pas-de-Calais,France,50.548378,2.662173
Wignehies,Nord,France,50.016674,4.007226
Olivet,Centre-Val de Loire,France,47.86541,1.897565
Argenteuil,Île-de-France,France,48.947548,2.244236
Avallon,France,France,47.491138,3.907785
Rebreuve-Ranchicourt,Pas-de-Calais,France,50.437023,2.558169
Bouy,Marne,France,49.085548,4.348544
Vence,France,France,43.722321,7.111703
Melun,Île-de-France,France,48.542107,2.6554
Allos,France,France,44.239887,6.628679
Idron,France,France,43.289165,-0.311895
Roquebrune-sur-Argens,France,France,43.443409,6.637682
Valbonne,France,France,43.641521,7.009186
Gouzon,France,France,46.191666,2.236802
Magny-en-Vexin,France,France,49.151726,1.787148
Narrosse,France,France,43.703163,-1.008198
Verdun,France,France,49.159878,5.384423
Chartres-de-Bretagne,Brittany,France,48.040897,-1.707289
Bouguenais,France,France,47.176384,-1.619656
Langogne,France,France,44.727238,3.855416
Chantilly,France,France,49.193161,2.468739
La Londe-les-Maures,France,France,43.138622,6.235208
Flayosc,France,France,43.534573,6.394899
Fontainebleau,France,France,48.404675,2.70162
Sort-en-Chalosse,France,France,43.683105,-0.930312
Saint-Pierre-Bois,France,France,48.33128,7.365629
Sainte-Reine-de-Bretagne,France,France,47.44397,-2.19185
Bonneville,Haute-Savoie,France,46.074661,6.415329
Joinville,France,France,48.443478,5.137688
Lanobre,France,France,45.43655,2.534919
Traînou,France,France,47.9757,2.101075
Lillebonne,France,France,49.518875,0.534458
Mandelieu-La Napoule,Provence-Alpes-Côte d'Azur,France,43.54623,6.938309
aint-Antonin-de-Sommaire,France,France,48.833916,0.667299
Massy,France,France,48.730755,2.27137
Vincennes,Île-de-France,France,48.847759,2.439497
Corte,Corsica,France,42.30941,9.149022
Callian,France,France,43.626633,6.75024
Pradines,France,France,44.477871,1.403533
Marckolsheim,France,France,48.163895,7.543985
Cadenet,France,France,43.73481,5.373656
